transaction_id,customer_id,transaction_date,amount,channel,merchant_city,items,discount
T0000044,C002656,2025-08-31,596.34,phone,Mumbai,6,
T0000045,C005554,2024-08-12,437.44,online,Lucknow,2,0.057
T0000046,C001523,2024-03-25,1837.23,store,Hyderabad,7,0.006
T0000047,C000561,2024-03-26,18016.59,online,Mumbai,1,0.132
T0000048,C002616,2024-09-23,1673.62,store,Hyderabad,4,0.002
T0000049,C002591,bad-date,233.71,mobile,Delhi,6,0.061
T0000050,C004460,2024-03-18,1853.99,online,Hyderabad,9,0.025
T0000051,C003255,2024-04-28,10096.49,mobile,Delhi,2,0.014
T0000052,C000881,2024-06-22,1415.56,mobile,Mumbai,2,0.112
T0000053,C000242,2024-11-18,1671.0,online,Bengaluru,7,0.017
T0000054,C004557,2024-10-25,3596.02,store,Bengaluru,9,0.199
T0000055,C004648,2024-10-10,1216.52,store,Kochi,10,0.029
T0000056,C001015,2024-04-01,408.15,mobile,Kolkata,10,0.01
T0000057,C000203,2024-02-21,4241.35,online,Bhopal,1,0.141
T0000058,C005022,2024-03-31,310.98,store,Bhopal,5,0.108
T0000059,C005646,2024-03-26,3083.03,phone,Bengaluru,7,0.057
T0000060,C001309,2024-12-27,1597.93,online,Lucknow,4,0.218
T0000061,C001245,2025-05-10,1096.51,online,Lucknow,3,0.038
T0000062,C005883,2024-10-27,633.16,online,Kochi,6,0.052
T0000063,C000037,2024-11-19,2204.48,online,Jaipur,10,0.203
T0000064,C006083,2025-12-29,17901.84,online,Bhopal,6,0.086
T0000065,C005364,2024-09-22,323.43,online,Hyderabad,11,0.132
T0000066,C001946,2024-09-09,639.8,online,Jaipur,4,0.031
T0000067,C001984,2024-10-18,5009.92,mobile,Mumbai,5,0.161
T0000068,C003081,2024-01-19,374.89,mobile,Ahmedabad,11,0.048
T0000069,C000313,2025-12-14,11549.03,mobile,Chennai,4,0.065
T0000070,C005504,2025-11-03,506.72,store,Hyderabad,7,0.065
T0000071,C000069,2024-12-17,5976.76,online,Lucknow,5,
T0000072,C004550,2024-12-12,925.17,online,Kochi,9,0.121
T0000073,C006110,2024-03-05,1791.09,online,Bengaluru,6,0.085
T0000074,C006272,2025-06-21,6987.95,online,Bhopal,3,0.061
T0000075,C002778,2025-04-18,1171.56,mobile,Bengaluru,10,0.047
T0000076,C001246,2024-10-06,913.39,mobile,Jaipur,3,
T0000077,C005280,2024-10-20,3350.87,store,Pune,9,0.011
T0000078,C004633,2025-10-01,1640.19,mobile,Ahmedabad,9,0.111
T0000079,C000701,2024-01-13,1568.63,phone,Jaipur,3,0.013
T0000080,C000374,2025-12-14,1521.26,mobile,Pune,10,0.005
T0000081,C002602,2024-04-03,1357.43,store,Jaipur,9,0.109
T0000082,C003964,2024-03-12,5814.99,phone,Hyderabad,5,
T0000083,C000548,2025-07-12,1334.79,online,Bhopal,7,0.012
T0000084,C002452,2025-09-29,653.29,online,Hyderabad,6,0.079
T0000085,C000169,2024-09-21,6622.37,online,Hyderabad,9,0.082
T0000086,C005907,2024-04-18,3991.76,online,Kochi,5,0.112
T0000087,C005332,2024-08-01,2494.42,online,Hyderabad,6,0.135
T0000088,C004179,2025-06-13,1114.94,online,Ahmedabad,11,0.067
T0000089,C004703,2025-08-28,1161.59,store,Kolkata,8,0.007
T0000090,C001600,2024-03-25,10631.33,mobile,Pune,11,0.071
T0000091,C000504,2024-03-06,2756.58,online,Delhi,3,0.044
T0000092,C002422,2025-10-06,1166.54,phone,Jaipur,9,0.067
T0000093,C002387,2025-03-25,3652.75,store,Hyderabad,1,0.058
T0000094,C004986,2025-01-31,6170.96,online,Hyderabad,10,0.13
T0000095,C003867,bad-date,3223.03,mobile,Bhopal,2,
T0000096,C000692,2025-11-02,306.14,online,Kochi,7,0.048
T0000097,C002935,2024-08-30,440.96,online,Kochi,11,0.021
T0000098,C000860,2025-04-22,474.67,online,Hyderabad,5,0.114
T0000099,C000192,2025-03-14,1864.0,online,Chennai,3,0.048
T0000100,C000318,2025-09-03,641.14,online,Delhi,3,0.017
T0000101,C003586,2024-02-21,2096.74,store,Bhopal,1,0.034
T0000102,C001753,2024-01-26,1146.23,phone,Lucknow,9,0.005
T0000103,C006224,2024-11-03,19666.29,store,Bhopal,5,
T0000104,C000643,2025-10-27,4780.44,mobile,Delhi,1,0.05
T0000105,C002059,2025-02-15,2629.55,phone,Hyderabad,4,0.011
T0000106,C006187,2024-02-05,358.54,online,Mumbai,2,0.03
T0000107,C005898,2025-06-15,589.77,online,Kolkata,3,0.004
T0000108,C002331,2024-09-25,793.63,store,Mumbai,9,0.065
T0000109,C005342,2024-05-22,1198.54,store,Hyderabad,1,0.14
T0000110,C000250,2024-10-08,24751.39,online,Chennai,2,
T0000111,C003166,2024-08-27,896.07,store,Kochi,4,0.022
T0000112,C001489,2024-05-12,4498.2,online,Bhopal,10,0.022
T0000113,C001751,2025-07-13,1324.1,store,Pune,9,0.123
T0000114,C005561,2024-02-17,781.53,online,Bengaluru,1,0.104
T0000115,C001607,2025-10-09,1034.89,online,Bengaluru,11,0.03
T0000116,C005253,2025-01-26,1025.29,store,Chennai,11,0.038
T0000117,C001620,2025-02-01,756.14,store,Bhopal,3,0.07
T0000118,C000798,2024-08-04,453.15,phone,Hyderabad,5,0.093
T0000119,C003884,2024-06-28,1203.62,online,Kolkata,9,0.026
T0000120,C004686,2024-07-15,1969.15,online,Bhopal,9,0.013
T0000121,C005312,2025-07-30,3882.58,online,Bengaluru,3,0.027
T0000122,C003651,2025-04-08,1504.44,store,Delhi,11,0.002
T0000123,C002606,2024-10-31,1103.63,mobile,Chennai,2,0.018
T0000124,C001953,2024-01-17,6576.06,store,Bhopal,11,0.022
T0000125,C003124,2024-03-25,331.75,online,Bengaluru,7,
T0000126,C000491,2024-05-28,770.4,phone,Pune,6,0.082
T0000127,C005837,2024-01-26,27137.724070420143,store,Kochi,9,0.016
T0000128,C001742,2024-03-05,4835.21,online,Pune,11,0.094
T0000129,C006276,2025-12-11,4619.1,store,Lucknow,1,0.134
T0000130,C002292,2024-02-15,1522.05,store,Bengaluru,10,0.058
T0000131,C002753,2025-09-01,1426.92,store,Mumbai,2,0.044
T0000132,C000297,2024-02-24,2190.12,online,Pune,2,0.031
T0000133,C003164,2025-09-10,836.51,store,Delhi,3,0.032
T0000134,C002119,2024-07-01,961.47,store,Kolkata,9,0.073
T0000135,C002687,2025-08-06,303.34,mobile,Ahmedabad,10,0.096
T0000136,C005542,2024-02-19,1978.73,store,Pune,10,0.053
T0000137,C002781,2025-11-16,16619.44,online,Jaipur,9,0.033
T0000138,C002098,2025-02-12,680.91,online,Jaipur,7,0.059
T0000139,C003935,2024-03-19,551.29,online,Hyderabad,10,0.077
T0000140,C003383,2025-08-12,813.28,online,Lucknow,10,0.006
T0000141,C003125,2025-12-20,6120.01,mobile,Mumbai,2,0.114
T0000142,C002289,2024-12-18,703.1,mobile,Kolkata,4,0.06
T0000143,C000369,2024-01-03,2283.25,online,Hyderabad,3,0.018
T0000144,C001259,2025-07-05,7160.0,store,Lucknow,4,0.033
T0000145,C004474,2025-11-23,595.87,mobile,Kochi,8,0.039
T0000146,C000661,2025-12-22,555.64,online,Kochi,11,0.184
T0000147,C000736,2024-05-26,827.98,online,Mumbai,1,0.002
T0000148,C003501,2025-07-08,1164.43,online,Hyderabad,5,0.05
T0000149,C000276,2025-06-26,654.93,store,Hyderabad,7,0.005
T0000150,C003680,2024-01-10,832.7,phone,Kochi,11,0.014
T0000151,C001182,2024-04-03,6466.11,online,Jaipur,8,0.005
T0000152,C004506,2025-07-27,2980.63,online,Kolkata,5,0.073
T0000153,C002698,2024-03-06,991.53,online,Jaipur,2,0.009
T0000154,C006044,2025-12-02,11853.43,online,Mumbai,6,0.011
T0000155,C004491,2024-10-12,1772.39,store,Kolkata,9,0.023
T0000156,C001319,2024-08-19,5390.46,store,Kochi,10,0.086
T0000157,C002200,2024-08-19,1266.12,store,Kochi,5,0.065
T0000158,C005769,2025-03-20,1190.13,phone,Kolkata,9,0.007
T0000159,C000779,2025-03-06,2291.45,phone,Ahmedabad,11,0.041
T0000160,C004659,2025-09-27,529.93,online,Bengaluru,1,
T0000161,C005607,2024-09-03,512.78,online,Bengaluru,2,0.012
T0000162,C005038,2025-04-04,1666.88,mobile,Chennai,10,0.071
T0000163,C000154,2024-04-18,1029.97,store,Kolkata,11,0.034
T0000164,C004348,2025-09-30,1215.02,store,Hyderabad,1,0.076
T0000165,C005643,2025-04-05,3315.45,mobile,Kolkata,9,0.168
T0000166,C003352,2024-10-22,3210.66,online,Kochi,5,
T0000167,C002012,2024-12-24,1706.68,phone,Kolkata,8,0.092
T0000168,C002821,2024-03-31,538.6,online,Pune,3,0.063
T0000169,C005283,2025-04-20,2918.09,mobile,Mumbai,2,0.033
T0000170,C002085,2024-06-09,1003.6,online,Chennai,8,0.029
T0000171,C002065,2025-02-21,2959.24,phone,Kochi,8,0.016
T0000172,C000019,2025-05-31,1323.96,online,Delhi,11,0.006
T0000173,C004812,2024-09-16,5031.83,phone,Pune,4,0.151
T0000174,C003805,2024-10-19,8228.75,mobile,Jaipur,6,0.012
T0000175,C004122,2024-02-12,138.32,online,Hyderabad,5,0.02
T0000176,C005075,2024-06-27,2159.09,online,Hyderabad,6,0.022
T0000177,C004116,2024-01-11,1048.19,online,Ahmedabad,7,0.069
T0000178,C002184,2024-09-24,915.52,store,Chennai,3,0.132
T0000179,C003321,2025-05-31,2051.24,store,Kolkata,9,
T0000180,C002522,2024-08-17,1047.47,store,Mumbai,6,0.047
T0000181,C000443,2024-04-12,2155.83,online,Kochi,3,0.02
T0000182,C002824,2025-05-16,1278.21,online,Jaipur,11,0.005
T0000183,C001060,2024-10-02,1457.11,online,Jaipur,10,0.009
T0000184,C004568,2025-06-17,389.93,mobile,Delhi,1,0.029
T0000185,C000759,2025-06-15,1078.8,store,Kolkata,9,0.043
T0000186,C004196,2024-03-01,1289.16,phone,Kochi,3,0.033
T0000187,C001978,2024-07-30,4368.45,mobile,Hyderabad,5,0.008
T0000188,C000682,2024-04-04,1413.18,online,Mumbai,8,0.079
T0000189,C002621,2024-05-08,732.26,store,Hyderabad,9,0.002
T0000190,C002331,2025-01-04,929.87,online,Kolkata,6,0.074
T0000191,C005157,2024-01-25,352.34,store,Kochi,6,0.145
T0000192,C005869,2024-06-12,1320.13,online,Kolkata,8,
T0000193,C003212,2024-08-17,3370.93,store,Bhopal,4,0.02
T0000194,C005051,2024-09-07,3104.62,store,Kolkata,6,0.072
T0000195,C001192,2024-02-14,1304.19,online,Kolkata,10,0.0
T0000196,C000050,2024-12-26,1206.3,online,Mumbai,9,0.029
T0000197,C003846,2025-08-23,5051.08,store,Kochi,2,0.083
T0000198,C001094,2025-07-28,2299.74,phone,Kochi,7,0.057
T0000199,C001836,2025-12-02,27759.72,mobile,Kolkata,6,0.037
T0000200,C004433,2024-09-29,1384.62,mobile,Mumbai,3,0.166
T0000201,C004596,2025-03-28,2965.17,store,Jaipur,3,0.006
T0000202,C001051,2025-11-09,805.85,online,Bhopal,9,0.014
T0000203,C000607,2025-04-17,4854.22,store,Ahmedabad,6,0.076
T0000204,C001688,2024-01-24,868.91,mobile,Jaipur,5,0.102
T0000205,C001776,2024-04-03,5181.46,mobile,Hyderabad,7,0.094
T0000206,C004210,2024-11-09,1060.81,store,Lucknow,6,0.113
T0000207,C003462,2024-11-14,686.75,online,Delhi,10,0.016
T0000208,C001089,2024-12-23,1040.99,online,Bhopal,5,0.073
T0000209,C000244,2024-08-06,2505.24,online,Chennai,2,0.027
T0000210,C003522,2024-09-05,1309.57,store,Chennai,11,
T0000211,C003857,2024-09-02,4006.32,store,Bhopal,1,0.128
T0000212,C005685,2025-02-22,3852.81,online,Jaipur,1,0.084
T0000213,C001040,2025-02-01,2072.47,store,Mumbai,1,0.049
T0000214,C000859,2025-12-09,486.75,mobile,Kochi,1,0.105
T0000215,C002708,2025-12-27,1663.71,online,Bhopal,10,0.035
T0000216,C002281,2025-06-26,1396.54,store,Pune,7,0.184
T0000217,C000286,2025-06-04,1371.82,mobile,Delhi,8,0.075
T0000218,C003624,2025-03-30,1360.84,mobile,Bengaluru,1,
T0000219,C006148,2025-01-24,3182.66,online,Mumbai,1,0.03
T0000220,C003962,2025-08-25,1759.27,mobile,Hyderabad,5,0.059
T0000221,C001723,2025-04-12,2066.23,store,Bengaluru,4,0.078
T0000222,C003669,2025-02-22,1486.76,mobile,Lucknow,8,0.013
T0000223,C000236,2025-08-15,11300.29,mobile,Ahmedabad,3,0.064
T0000224,C004425,2025-12-06,1301.46,online,Pune,2,0.039
T0000225,C000003,2024-08-06,997.04,online,Kolkata,7,0.043
T0000226,C003965,2025-09-19,511.23,store,Lucknow,9,0.048
T0000227,C000225,2024-01-01,7898.26,online,Hyderabad,2,0.066
T0000228,C000855,2025-06-05,635.64,online,Hyderabad,5,0.141
T0000229,C005295,2024-08-29,4752.62,online,Kolkata,7,0.003
T0000230,C002822,2025-05-20,8132.34,online,Ahmedabad,9,0.058
T0000231,C001858,2025-03-17,7571.16,mobile,Mumbai,7,0.036
T0000232,C002787,2024-10-03,3152.51,store,Hyderabad,9,0.019
T0000233,C001709,2025-03-31,395.79,store,Mumbai,4,0.032
T0000234,C003500,2024-02-17,5873.35,store,Pune,7,0.092
T0000235,C004540,2025-05-20,1713.64,online,Chennai,3,0.018
T0000236,C003116,2024-08-15,1679.31,online,Jaipur,8,0.143
T0000237,C002892,2025-05-07,984.1,store,Chennai,7,0.072
T0000238,C002345,2024-05-17,5633.63,online,Bhopal,1,0.011
T0000239,C000467,2025-03-29,2072.83,online,Pune,3,0.066
T0000240,C004352,2024-08-28,2560.24,mobile,Pune,3,0.023
T0000241,C001372,2025-12-11,1073.56,mobile,Chennai,9,0.096
T0000242,C001862,2025-07-11,1653.78,store,Mumbai,1,0.007
T0000243,C005666,2024-09-11,508.31,store,Bhopal,2,0.011
T0000244,C003269,2024-08-14,1599.02,online,Lucknow,6,0.008
T0000245,C004884,2025-01-25,5440.86,online,Jaipur,4,0.001
T0000246,C005172,2025-01-29,2089.57,online,Chennai,2,0.001
T0000247,C003195,2024-08-28,482.96,online,Hyderabad,11,0.006
T0000248,C002408,2024-06-27,881.78,online,Kochi,3,0.134
T0000249,C005651,2025-12-16,1110.63,store,Pune,2,0.158
T0000250,C004246,2025-07-09,4546.69,mobile,Ahmedabad,5,0.042
T0000251,C002381,2025-10-05,5775.8,online,Lucknow,3,0.047
T0000252,C003699,2024-11-06,347.78,store,Mumbai,4,0.014
T0000253,C005971,2024-03-13,1672.98,mobile,Kochi,11,0.205
T0000254,C001152,2025-01-17,5628.16,store,Kolkata,2,0.057
T0000255,C003089,2024-11-25,1242.62,online,Kochi,6,0.038
T0000256,C004229,2024-08-12,3655.4,store,Bhopal,7,0.1
T0000257,C004522,2025-07-13,327.33,online,Hyderabad,6,0.014
T0000258,C003100,2024-06-19,5322.91,phone,Bhopal,4,
T0000259,C000729,2025-01-19,12803.9,store,Chennai,10,0.033
T0000260,C002657,2025-11-21,840.11,online,Kolkata,6,0.122
T0000261,C003866,2025-04-19,6671.75,store,Hyderabad,7,0.041
T0000262,C005016,2024-05-15,383.17,online,Jaipur,1,
T0000263,C000848,2025-01-15,2780.45,store,Lucknow,4,
T0000264,C000631,2025-09-21,920.57,store,Bhopal,3,0.012
T0000265,C003200,2024-04-13,1627.99,online,Bengaluru,10,0.009
T0000266,C005200,2025-06-02,780.73,online,Delhi,1,0.02
T0000267,C003605,2025-07-28,12529.32,mobile,Pune,4,0.045
T0000268,C004897,2024-02-29,1680.58,online,Delhi,10,0.048
T0000269,C003632,2024-07-20,819.51,online,Delhi,7,0.006
T0000270,C003382,2025-08-03,346.26,online,Chennai,9,0.077
T0000271,C005433,2025-05-31,840.99,online,Bengaluru,11,0.041
T0000272,C002565,2024-03-10,1231.33,online,Hyderabad,10,0.015
T0000273,C000186,2025-04-24,259.07,online,Pune,10,0.01
T0000274,C002625,2024-07-13,1192.71,mobile,Hyderabad,2,0.036
T0000275,C000780,2024-08-18,1196.53,online,Ahmedabad,4,0.104
T0000276,C003159,2024-11-21,2150.3,online,Lucknow,10,0.083
T0000277,C006104,2024-08-15,2301.23,mobile,Pune,6,0.015
T0000278,C002255,2025-02-02,332.63,mobile,Pune,5,0.05
T0000279,C001615,2025-02-27,1482.4,mobile,Ahmedabad,3,0.045
T0000280,C005501,2024-10-15,1574.76,store,Bhopal,8,0.028
T0000281,C004306,2024-07-19,1197.86,store,Delhi,3,0.149
T0000282,C001730,2025-08-02,3362.45,online,Kolkata,8,0.033
T0000283,C_BAD_001,2025-04-06,1425.1,online,Lucknow,4,0.075
T0000284,C002860,2025-04-30,977.12,store,Mumbai,3,0.025
T0000285,C005473,2025-08-19,5487.5,online,Bengaluru,1,0.048
T0000286,C004391,2024-04-16,1432.54,mobile,Hyderabad,6,0.044
T0000287,C000328,2024-01-14,8363.19,mobile,Jaipur,11,0.004
T0000288,C002416,2024-12-28,240.26,online,Jaipur,2,0.066
T0000289,C000126,2024-09-12,63849.59685108423,mobile,Lucknow,2,0.165
T0000290,C003409,2024-05-01,673.69,mobile,Chennai,6,0.088
T0000291,C003749,2024-09-28,2825.7,store,Mumbai,9,0.199
T0000292,C004467,2024-08-08,1688.48,online,Mumbai,5,0.095
T0000293,C004574,2024-09-08,1625.0,mobile,Bengaluru,4,0.035
T0000294,C000825,2024-10-21,832.02,online,Kolkata,5,0.257
T0000295,C005999,2024-07-12,2318.74,online,Hyderabad,4,0.106
T0000296,C003023,2024-04-27,11604.1,online,Bengaluru,2,0.071
T0000297,C000818,2024-01-30,75.59,online,Kochi,5,0.048
T0000298,C005742,2024-10-23,2948.26,online,Pune,5,
T0000299,C001852,2025-07-12,17177.94,store,Chennai,7,0.019
T0000300,C000815,2025-07-31,8427.55,store,Hyderabad,7,
T0000301,C003327,2024-09-24,743.19,online,Bhopal,5,0.068
T0000302,C005321,2024-05-31,521.09,phone,Mumbai,5,0.081
T0000303,C002956,2024-10-26,2949.17,mobile,Kochi,1,0.042
T0000304,C006247,2024-04-08,4435.13,store,Kochi,3,0.076
T0000305,C004810,2025-10-25,986.48,online,Lucknow,3,0.086
T0000306,C001591,2024-03-07,3316.41,mobile,Kolkata,1,0.055
T0000307,C004594,2024-04-06,1203.7,mobile,Jaipur,8,0.029
T0000308,C003902,2024-01-01,740.22,store,Kochi,7,0.034
T0000309,C005718,2025-10-06,473.12,store,Jaipur,4,0.096
T0000310,C002437,2025-12-15,7376.14,online,Bengaluru,3,0.014
T0000311,C005819,2025-12-05,639.45,store,Chennai,1,0.004
T0000312,C005765,2025-07-07,354.68,store,Kochi,4,0.097
T0000313,C002106,2024-09-08,363.29,online,Kochi,5,0.129
T0000314,C002832,2024-12-21,1335.01,store,Kolkata,9,0.03
T0000315,C000607,2025-01-01,19790.21,store,Mumbai,5,0.099
T0000316,C001397,2025-08-16,3913.36,store,Delhi,9,0.126
T0000317,C005068,2024-09-05,2032.05,online,Chennai,5,0.106
T0000318,C002041,2025-10-20,2832.11,mobile,Bengaluru,4,0.072
T0000319,C002358,2024-08-13,5367.63,store,Jaipur,8,0.036
T0000320,C004801,2024-02-26,6552.67,online,Hyderabad,4,0.049
T0000321,C001803,2024-03-09,1630.26,store,Mumbai,2,0.027
T0000322,C004235,2024-10-28,915.67,online,Kochi,10,0.003
T0000323,C003606,2025-08-21,1328.84,mobile,Delhi,6,
T0000324,C004382,2025-07-09,895.89,online,Mumbai,6,0.017
T0000325,C003785,2024-10-20,1594.47,store,Lucknow,4,0.153
T0000326,C001360,2025-07-22,1708.4,phone,Kolkata,8,0.109
T0000327,C000922,2024-09-06,8265.99,phone,Delhi,3,0.002
T0000328,C005743,2024-11-27,650.01,online,Jaipur,7,0.049
T0000329,C005544,2024-01-24,600.53,store,Hyderabad,8,0.03
T0000330,C000607,2025-03-10,1586.4,store,Delhi,7,0.038
T0000331,C001518,2024-01-09,1284.88,online,Jaipur,9,0.032
T0000332,C000960,2024-06-08,1782.96,online,Hyderabad,3,0.084
T0000333,C000763,2025-07-24,2804.98,store,Kochi,5,0.039
T0000334,C003710,2025-08-14,1758.44,store,Ahmedabad,6,0.003
T0000335,C000494,2024-04-20,970.42,online,Ahmedabad,7,0.069
T0000336,C001213,2024-05-23,2254.05,online,Jaipur,8,0.076
T0000337,C005926,2025-01-09,503.74,online,Bengaluru,1,0.024
T0000338,C003809,2024-11-15,427.68,store,Bengaluru,4,0.157
T0000339,C003453,2024-12-08,6109.54,online,Bengaluru,8,0.031
T0000340,C004742,2025-07-02,968.51,store,Jaipur,8,0.17
T0000341,C002575,2024-01-20,2031.33,mobile,Lucknow,3,0.029
T0000342,C000567,2025-07-07,1743.31,store,Hyderabad,4,0.007
T0000343,C003539,2024-12-28,1382.26,online,Jaipur,11,0.015
T0000344,C002088,2024-04-14,262.43,mobile,Hyderabad,7,0.03
T0000345,C004056,2024-01-05,1455.39,store,Bhopal,3,0.055
T0000346,C004013,2025-08-18,3968.94,online,Jaipur,2,0.021
T0000347,C005518,2024-02-06,2157.02,mobile,Bhopal,7,0.147
T0000348,C003269,2024-08-31,5191.54,online,Kochi,10,
T0000349,C002180,2024-11-08,1728.73,online,Delhi,5,0.086
T0000350,C001884,2024-03-21,1140.22,online,Jaipur,7,0.002
T0000351,C003551,2024-12-20,1488.73,online,Kolkata,1,0.14
T0000352,C006057,2024-09-18,2283.8,store,Chennai,2,0.018
T0000353,C000657,2024-05-25,8563.06,online,Hyderabad,1,0.162
T0000354,C000378,2025-02-21,219293.42885988034,online,Mumbai,4,0.071
T0000355,C004892,2025-01-06,1292.83,online,Jaipur,11,0.034
T0000356,C001228,2025-08-17,3103.5,store,Jaipur,2,0.031
T0000357,C005617,2024-07-21,605.6,mobile,Ahmedabad,10,0.006
T0000358,C003105,2025-04-22,3093.48,store,Lucknow,3,0.122
T0000359,C001744,2024-10-13,1240.26,store,Kolkata,6,0.238
T0000360,C002035,2024-03-03,1793.77,online,Mumbai,7,0.015
T0000361,C004433,2024-08-23,903.8,online,Kochi,5,0.039
T0000362,C005923,2024-11-03,2059.91,online,Lucknow,4,0.023
T0000363,C003440,2025-10-08,1207.16,store,Delhi,1,0.001
T0000364,C003406,2025-10-07,684.04,phone,Kolkata,5,0.016
T0000365,C003110,2025-03-04,955.35,mobile,Mumbai,2,0.059
T0000366,C000455,2025-10-08,1725.07,mobile,Bengaluru,7,0.049
T0000367,C004288,2025-09-21,5032.63,online,Bhopal,2,0.101
T0000368,C004952,2025-05-29,1435.53,store,Kochi,1,0.096
T0000369,C003191,2024-10-02,468.62,store,Jaipur,4,0.051
T0000370,C002833,2024-07-08,1472.18,online,Delhi,8,
T0000371,C005685,2025-09-24,4065.84,mobile,Lucknow,5,0.237
T0000372,C002396,2024-12-24,1667.76,store,Pune,6,0.039
T0000373,C000643,2025-12-02,2199.35,online,Bengaluru,11,0.109
T0000374,C000252,2025-07-21,1334.84,online,Lucknow,11,0.032
T0000375,C000577,2024-04-02,1972.54,phone,Kolkata,10,0.037
T0000376,C004579,2024-12-08,7743.77,store,Lucknow,4,0.024
T0000377,C002227,2024-10-30,1915.7,store,Pune,9,0.039
T0000378,C004998,2025-12-17,458.79,store,Kolkata,7,0.146
T0000379,C000853,2024-06-18,996.56,online,Chennai,7,0.193
T0000380,C003996,2024-08-21,777.68,online,Hyderabad,4,0.102
T0000381,C003722,2025-04-21,1750.25,online,Jaipur,7,0.17
T0000382,C003073,2024-11-28,2007.81,store,Mumbai,11,0.171
T0000383,C005833,2024-12-09,4179.91,online,Bengaluru,1,0.004
T0000384,C005595,2025-12-06,1034.23,mobile,Mumbai,2,0.029
T0000385,C000670,2024-08-08,821.64,mobile,Kolkata,5,
T0000386,C003424,2025-12-01,2285.56,online,Pune,11,0.093
T0000387,C006138,2024-02-29,3583.27,online,Kolkata,5,
T0000388,C002887,2024-04-25,1445.12,store,Ahmedabad,2,0.03
T0000389,C005029,2025-02-04,195.77,store,Lucknow,11,0.002
T0000390,C005691,2025-11-04,442.77,online,Kochi,5,0.144
T0000391,C001324,2025-04-22,1206.29,online,Pune,5,0.032
T0000392,C002191,2025-08-05,1907.82,online,Bengaluru,1,0.091
T0000393,C005031,2025-01-15,1357.15,online,Jaipur,2,0.031
T0000394,C000353,2025-08-26,3119.87,mobile,Jaipur,3,0.15
T0000395,C003210,2024-05-10,1551.54,mobile,Hyderabad,1,0.227
T0000396,C003432,2025-08-22,2115.82,online,Mumbai,4,0.126
T0000397,C000284,2024-12-04,485.29,online,Pune,10,0.008
T0000398,C001222,2025-07-03,1564.4,mobile,Ahmedabad,3,0.219
